Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5510","Production","1185","Silk-worm cocoons suitable for reeling","2021","2021","t","500","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","1185","Silk-worm cocoons suitable for reeling","2021","2021","t","2.02","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5023","Processed","1185","Silk-worm cocoons suitable for reeling","2021","2021","t","497.98","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","1185","Silk-worm cocoons suitable for reeling","2021","2021","t","0","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","1185","Silk-worm cocoons suitable for reeling","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5510","Production","1185","Silk-worm cocoons suitable for reeling","2022","2022","t","500","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5023","Processed","1185","Silk-worm cocoons suitable for reeling","2022","2022","t","500","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","1185","Silk-worm cocoons suitable for reeling","2022","2022","t","0","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","1185","Silk-worm cocoons suitable for reeling","2022","2022","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","826","Unmanufactured tobacco","2020","2020","t","7000","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5071","Stock Variation","826","Unmanufactured tobacco","2020","2020","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","826","Unmanufactured tobacco","2020","2020","t","69.09","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","826","Unmanufactured tobacco","2020","2020","t","6930.91","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","826","Unmanufactured tobacco","2020","2020","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","826","Unmanufactured tobacco","2021","2021","t","7000","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5071","Stock Variation","826","Unmanufactured tobacco","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","826","Unmanufactured tobacco","2021","2021","t","698.79","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","826","Unmanufactured tobacco","2021","2021","t","6301.21","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","826","Unmanufactured tobacco","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","826","Unmanufactured tobacco","2022","2022","t","714","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5071","Stock Variation","826","Unmanufactured tobacco","2022","2022","t","0","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","826","Unmanufactured tobacco","2022","2022","t","1048.34","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","826","Unmanufactured tobacco","2022","2022","t","-334","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","988","Wool, degreased or carbonized, not carded or combed","2020","2020","t","17","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","988","Wool, degreased or carbonized, not carded or combed","2020","2020","t","17","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","988","Wool, degreased or carbonized, not carded or combed","2020","2020","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","988","Wool, degreased or carbonized, not carded or combed","2021","2021","t","16","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","988","Wool, degreased or carbonized, not carded or combed","2021","2021","t","5","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","988","Wool, degreased or carbonized, not carded or combed","2021","2021","t","11","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","988","Wool, degreased or carbonized, not carded or combed","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","988","Wool, degreased or carbonized, not carded or combed","2022","2022","t","185","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","988","Wool, degreased or carbonized, not carded or combed","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","988","Wool, degreased or carbonized, not carded or combed","2022","2022","t","185","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","988","Wool, degreased or carbonized, not carded or combed","2022","2022","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5610","Import quantity","828","Cigarettes","2020","2020","t","193","A","Official figure",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5071","Stock Variation","828","Cigarettes","2020","2020","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5165","Other uses (non-food)","828","Cigarettes","2020","2020","t","193","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5166","Residuals","828","Cigarettes","2020","2020","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5610","Import quantity","828","Cigarettes","2021","2021","t","","A","Official figure",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5071","Stock Variation","828","Cigarettes","2021","2021","t","-677","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5910","Export quantity","828","Cigarettes","2021","2021","t","","A","Official figure",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5165","Other uses (non-food)","828","Cigarettes","2021","2021","t","677","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5166","Residuals","828","Cigarettes","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5610","Import quantity","828","Cigarettes","2022","2022","t","3118","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5071","Stock Variation","828","Cigarettes","2022","2022","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5910","Export quantity","828","Cigarettes","2022","2022","t","33","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5165","Other uses (non-food)","828","Cigarettes","2022","2022","t","3085","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5166","Residuals","828","Cigarettes","2022","2022","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5610","Import quantity","829","Cigars and cheroots","2020","2020","t","1","A","Official figure",""
"CB","Commodity Balances (non-food) (2010-)","3","Albania","5071","Stock Variation","829","Cigars and cheroots","2020","2020","t","0","I","Imputed value",""
